Date,Source/Medium,Device Category,Landing Page,Segment,Sessions
20190924,(direct) / (none),desktop,/home,[Geral - CC e NC - NP] Aprovado,4
20190924,(direct) / (none),desktop,/home,[Geral - NC - NP] Negado,38
20190924,(direct) / (none),desktop,/pf/funil/cartoes/(not set)/token,[Geral - NC - NP] Negado,1
20190924,(direct) / (none),desktop,/pf/funil/cartoes/cc-123/sobre-voce-cpf/step-1,[Geral - NC - NP] Negado,1
20190924,(direct) / (none),desktop,/pf/funil/cartoes/cc-aa-gold/sobre-voce-cpf/step-1,[Geral - NC - NP] Negado,1
20190924,(direct) / (none),desktop,/pf/funil/cartoes/cc-aa-platinum/sobre-voce-cpf/step-1,[Geral - CC e NC - NP] Aprovado,2
20190924,(direct) / (none),desktop,/pf/funil/cartoes/cc-dufry/sobre-voce-cpf/step-1,[Geral - NC - NP] Negado,1
20190924,(direct) / (none),desktop,/pf/funil/cartoes/cc-free/erro-sessao-expirada,[Geral - NC - NP] Negado,1
20190924,(direct) / (none),desktop,/pf/funil/cartoes/cc-free/sobre-voce-cpf/step-1,[Geral - CC - NP] Negado,1
20190924,(direct) / (none),desktop,/pf/funil/cartoes/cc-free/sobre-voce-cpf/step-1,[Geral - NC - NP] Negado,12
20190924,(direct) / (none),desktop,/pf/funil/cartoes/cc-smiles-gold/sobre-voce-cpf/step-1,[Geral - NC - NP] Negado,1
20190924,(direct) / (none),desktop,/pf/produto/cartoes/aadvantage/solicitar,[Geral - NC - NP] Negado,1
20190924,(direct) / (none),desktop,/pf/produto/cartoes/basico/pagina-de-produto,[Geral - NC - NP] Negado,1
20190924,(direct) / (none),desktop,/pf/produto/cartoes/dufry/pagina-de-produto,[Geral - NC - NP] Negado,1
20190924,(direct) / (none),desktop,/pf/produto/cartoes/vitrine/cartoes-santander,[Geral - NC - NP] Negado,3
20190924,(direct) / (none),desktop,/pf/produto/cartoes/vitrine/cartoes-santander,[Geral - CC e NC - NP] Aprovado,3
20190924,(direct) / (none),mobile,/home,[Geral - NC - NP] Negado,94
20190924,(direct) / (none),mobile,/home,[Geral - CC e NC - NP] Aprovado,6
